HK,Residual,Psipred,CA
58.19,64.66,70.86,54.14
58.2,64.69,70.91,54.18
58.22,64.69,70.92,54.27
58.23,64.73,70.92,54.33
58.23,64.78,70.94,54.42
58.26,64.89,70.96,54.44
58.27,64.89,70.99,54.47
58.29,64.9,71,54.49
58.29,64.95,71,54.6
58.29,64.98,71.01,54.63
58.34,65.01,71.03,54.63
58.45,65.03,71.04,54.64
58.55,65.07,71.04,54.66
58.57,65.11,71.04,54.69
58.57,65.13,71.05,54.71
58.66,65.14,71.06,54.73
58.7,65.15,71.1,54.76
58.73,65.19,71.1,54.86
58.77,65.22,71.11,54.89
58.79,65.23,71.15,54.9
58.81,65.24,71.17,54.95
58.82,65.27,71.2,54.98
58.87,65.28,71.2,55.04
58.87,65.3,71.21,55.12
58.87,65.31,71.23,55.14
58.92,65.31,71.24,55.16
58.99,65.38,71.24,55.23
59,65.4,71.25,55.27
59.06,65.43,71.26,55.28
59.08,65.44,71.34,55.29
59.11,65.45,71.34,55.3
59.11,65.56,71.37,55.34
59.12,65.57,71.37,55.39
59.13,65.64,71.39,55.4
59.14,65.65,71.45,55.4
59.16,65.69,71.46,55.41
59.17,65.73,71.48,55.43
59.21,65.75,71.48,55.44
59.21,65.78,71.5,55.46
59.23,65.81,71.53,55.47
59.24,65.87,71.57,55.52
59.31,65.89,71.57,55.54
59.31,65.94,71.57,55.55
59.32,66,71.58,55.57
59.39,66.06,71.59,55.58
59.44,66.08,71.66,55.62
59.5,66.22,71.66,55.62
59.56,66.24,71.82,55.64
59.59,66.24,71.83,55.7
59.6,66.25,71.83,55.71
59.63,66.27,71.84,55.73
59.67,66.27,71.84,55.79
59.75,66.28,71.84,55.87
59.81,66.28,71.94,55.91
59.83,66.34,71.97,55.91
59.87,66.35,71.99,56.04
59.95,66.38,72,56.08
60.01,66.4,72,56.1
60.01,66.44,72.01,56.13
60.02,66.44,72.03,56.13
60.03,66.45,72.08,56.13
60.04,66.48,72.09,56.17
60.07,66.49,72.12,56.24
60.11,66.57,72.13,56.26
60.15,66.57,72.14,56.28
60.17,66.62,72.21,56.31
60.21,66.62,72.23,56.34
60.22,66.66,72.26,56.39
60.24,66.67,72.29,56.39
60.3,66.69,72.3,56.42
60.31,66.7,72.31,56.45
60.32,66.81,72.32,56.46
60.41,66.81,72.33,56.5
60.41,66.81,72.34,56.51
60.45,66.83,72.37,56.55
60.46,66.85,72.4,56.67
60.51,66.85,72.41,56.69
60.51,66.85,72.41,56.7
60.54,66.87,72.41,56.7
60.54,66.92,72.44,56.71
60.55,66.94,72.44,56.71
60.56,66.94,72.46,56.73
60.59,66.99,72.47,56.75
60.6,66.99,72.5,56.77
60.61,67,72.53,56.82
60.67,67.04,72.54,56.86
60.68,67.05,72.56,56.9
60.69,67.09,72.58,56.91
60.71,67.13,72.59,56.91
60.74,67.2,72.61,56.92
60.75,67.25,72.65,56.92
60.77,67.32,72.67,56.94
60.81,67.33,72.67,56.95
60.83,67.35,72.69,56.99
60.83,67.35,72.7,56.99
60.85,67.36,72.71,57
60.92,67.42,72.72,57.02
60.93,67.42,72.72,57.04
60.96,67.44,72.73,57.08
60.96,67.44,72.73,57.15
60.97,67.53,72.74,57.18
60.98,67.61,72.75,57.2
61.08,67.62,72.77,57.26
61.11,67.64,72.8,57.26
61.13,67.65,72.8,57.3
61.19,67.67,72.82,57.32
61.2,67.7,72.82,57.38
61.21,67.72,72.86,57.39
61.22,67.74,72.9,57.39
61.3,67.76,72.9,57.45
61.31,67.76,72.91,57.46
61.33,67.77,72.92,57.51
61.34,67.78,72.96,57.59
61.39,67.79,72.98,57.6
61.41,67.82,72.98,57.6
61.44,67.86,73,57.61
61.44,67.92,73.02,57.64
61.48,67.93,73.06,57.68
61.48,67.94,73.06,57.69
61.49,67.97,73.07,57.8
61.51,67.97,73.1,57.85
61.51,68,73.1,57.89
61.52,68,73.11,57.91
61.6,68.03,73.15,57.95
61.63,68.07,73.15,57.97
61.66,68.14,73.16,58
61.67,68.17,73.17,58.01
61.67,68.2,73.17,58.08
61.68,68.21,73.18,58.1
61.69,68.24,73.18,58.16
61.69,68.26,73.18,58.18
61.7,68.27,73.19,58.22
61.74,68.34,73.2,58.24
